,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,cashChange1,cashChange2,cashChange3,cashChange4,cashFlow1,cashFlow2,cashFlow3,cashFlow4,companyName,consensusEPS,costOfRevenue1,costOfRevenue2,costOfRevenue3,costOfRevenue4,currentAssets1,currentAssets2,currentAssets3,currentAssets4,currentCash1,currentCash2,currentCash3,currentCash4,currentDebt1,currentDebt2,currentDebt3,currentDebt4,day200MovingAvg,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,grossProfit1,grossProfit2,grossProfit3,grossProfit4,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,name,netIncome1,netIncome2,netIncome3,netIncome4,numberOfEstimates,operatingExpense1,operatingExpense2,operatingExpense3,operatingExpense4,operatingGainsLosses1,operatingGainsLosses2,operatingGainsLosses3,operatingGainsLosses4,operatingIncome1,operatingIncome2,operatingIncome3,operatingIncome4,operatingRevenue1,operatingRevenue2,operatingRevenue3,operatingRevenue4,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,reportDate1,reportDate2,reportDate3,reportDate4,researchAndDevelopment1,researchAndDevelopment2,researchAndDevelopment3,researchAndDevelopment4,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,shareholderEquity1,shareholderEquity2,shareholderEquity3,shareholderEquity4,sharesOutstanding,shortDate,shortInterest,shortRatio,symbol,ticker,totalAssets1,totalAssets2,totalAssets3,totalAssets4,totalCash1,totalCash2,totalCash3,totalCash4,totalDebt1,totalDebt2,totalDebt3,totalDebt4,totalLiabilities1,totalLiabilities2,totalLiabilities3,totalLiabilities4,totalRevenue1,totalRevenue2,totalRevenue3,totalRevenue4,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,9181000.0,,250.0,1.645926,233664000.0,,5778000.0,4412000.0,5756000.0,,4574000.0,22398000.0,14006000.0,Amphastar Pharmaceuticals Inc.,0.02,37275000.0,38440000.0,33842000.0,43582000.0,,193579000.0,191417000.0,184096000.0,,82544000.0,76766000.0,72354000.0,,6205000.0,5263000.0,5366000.0,16.28035,17.5826,0.0322760155815,120445000.0,0.0,0.0,0,45238561,90177000.0,20641000.0,26747000.0,22828000.0,19961000.0,2.1,36.7,0.21,2016-12-31,856934724,-0.0164369034995,0.245802552048,0.168872085696,Amphastar Pharmaceuticals Inc.,175000.0,1972000.0,893000.0,-2742000.0,4,23461000.0,24562000.0,21424000.0,24471000.0,,82000.0,-2643000.0,579000.0,-2820000.0,2185000.0,1404000.0,-4510000.0,57916000.0,65187000.0,56670000.0,63543000.0,0.0,0.0,2.57,3.571264,0.12,2017-09-30,2017-06-30,2017-03-31,2016-12-31,10040000.0,10732000.0,11250000.0,12608000.0,0.07,,0.09,243316000.0,157895,5,,333314000.0,325561000.0,329255000.0,46195942,2017-10-31,2444610,14.308935,AMPH,AMPH,,443997000.0,435612000.0,427738000.0,,83271000.0,77512000.0,72881000.0,,46312000.0,36411000.0,37722000.0,,110683000.0,110051000.0,98483000.0,57916000.0,65187000.0,56670000.0,63543000.0,0.15,-9.1132,21.75,12.05,-0.113712374582,0.476910828025,1.12,0.0027027027027
1,0.0,,-19.0476,0.368981,0.0,15229000.0,-13911000.0,8326000.0,-15505000.0,1905000.0,1580000.0,2087000.0,954000.0,American River Bankshares,0.21,,,,,,,,,37233000.0,22004000.0,35915000.0,27589000.0,2000000.0,2000000.0,3500000.0,3500000.0,14.26983,14.21182,-0.00465425531915,62000000.0,0.2,1.3360053,2017-10-31 00:00:00.0,5390076,0.0,,,,,15.4,51.5,0.93,2016-12-31,95464034,-0.0291828793774,0.108888888889,0.06852248394,American River Bankshares,1109000.0,1297000.0,1184000.0,1915000.0,2,,,,,-27000.0,-86000.0,-56000.0,-207000.0,,,,,,,,,33.2,13.8,1.16,4.2714987,24.62,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,0.84,,6.6,21359000.0,220196,3,82255000.0,81373000.0,83108000.0,83850000.0,6377023,2017-10-31,3699,0.6690179,AMRB,AMRB,655644000.0,641605000.0,659251000.0,651450000.0,,,,,15500000.0,15500000.0,15500000.0,15500000.0,573389000.0,560232000.0,576143000.0,567600000.0,5180000.0,5308000.0,5230000.0,5641000.0,0.84,23.4235,15.99,12.54,0.1976,0.348660798746,1.15954991344,-0.0464968152866
2,54323000.0,,20.0,1.066196,101750000.0,2428000.0,2678000.0,3846000.0,2250000.0,-39386000.0,-19585000.0,-31785000.0,-10697000.0,Ameresco Inc. Class A,0.15,163377000.0,131257000.0,108686000.0,138208000.0,245215000.0,216935000.0,199283000.0,226061000.0,29559000.0,27131000.0,24453000.0,20607000.0,24155000.0,22270000.0,20319000.0,19292000.0,6.7548,7.799,0.0,750825000.0,0.0,0.0,0,37436042,138716000.0,41367000.0,35408000.0,25924000.0,36017000.0,17.7,23.2,0.25,2016-12-31,395880467,0.101265822785,0.279411764706,0.298507462687,Ameresco Inc. Class A,8493000.0,5831000.0,-644000.0,3269000.0,2,27027000.0,26650000.0,26487000.0,28688000.0,,,-104000.0,,14340000.0,8758000.0,-563000.0,7329000.0,204744000.0,166665000.0,134610000.0,174225000.0,216.2,11.1,1.27,0.58196837,2.41,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,2.07,,5.61,680244000.0,655341,15,311992000.0,303204000.0,296407000.0,294306000.0,45503502,2017-10-31,292464,6.1482058,AMRC,AMRC,903645000.0,875882000.0,815250000.0,797281000.0,29559000.0,27131000.0,24453000.0,20607000.0,202297000.0,195002000.0,193641000.0,159885000.0,591653000.0,572678000.0,518843000.0,502975000.0,204744000.0,166665000.0,134610000.0,174225000.0,0.35,55.357098,8.8,4.8,0.45,0.322188449848,-0.0333333333333,0.53982300885
3,16863000.0,,-36.0,0.053796,32769000.0,6619000.0,-6830000.0,-3483000.0,-389000.0,95060000.0,-88428000.0,19454000.0,-35867000.0,A-Mark Precious Metals Inc.,0.25,1320686000.0,1723513000.0,2116502000.0,1797589000.0,447021000.0,494743000.0,509355000.0,456668000.0,13059000.0,6440000.0,13270000.0,16753000.0,180500000.0,213500000.0,185500000.0,203500000.0,16.87932,16.49817,0.01050558109,0.0,0.32,2.0792723,2017-09-15 00:00:00.0,5699427,23270000.0,6079000.0,7332000.0,9859000.0,8064000.0,18.9,22.4,1.0,2017-06-30,108214016,-0.092570754717,-0.0592909535452,-0.0411214953271,A-Mark Precious Metals Inc.,1220000.0,1166000.0,2750000.0,1950000.0,1,5559000.0,5989000.0,6131000.0,5664000.0,157000.0,6000.0,-93000.0,14000.0,520000.0,1343000.0,3728000.0,2400000.0,1326765000.0,1730845000.0,2126361000.0,1805653000.0,0.0,0.0,1.56,0.02139016,0.1,2017-06-30,2017-03-31,2016-12-31,2016-09-30,,,,,1.55,,10.66,5183971000.0,40818669,737,69591000.0,68614000.0,67617000.0,65130000.0,7031450,2017-10-31,27126,1.642109,AMRK,AMRK,478500000.0,523005000.0,536984000.0,483529000.0,13059000.0,6440000.0,13270000.0,16753000.0,,,,,408909000.0,454391000.0,469367000.0,418399000.0,1326765000.0,1730845000.0,2126361000.0,1805653000.0,0.97,-10.0698,21.66,14.75,-0.0973607038123,-0.00517129928895,0.157142857143,-0.203416149068
4,-50202000.0,,20.0,0.640585,358877000.0,-6378000.0,-10612000.0,-2175000.0,-19311000.0,-6277000.0,-10503000.0,-13917000.0,-19311000.0,Amarin Corporation plc,-0.05,11921000.0,11401000.0,8198000.0,10155000.0,147031000.0,150429000.0,154790000.0,146326000.0,79086000.0,85464000.0,96076000.0,98251000.0,20416000.0,19288000.0,17196000.0,31295000.0,3.3202,3.3786,-0.0355191256831,497250000.0,0.0,0.0,0,269163988,124259000.0,35439000.0,33840000.0,26439000.0,28541000.0,0.6,38.2,-0.41,2016-12-31,956204508,0.0351906158358,0.0828220858896,0.16501650165,Amarin Corporation plc,-10825000.0,-13634000.0,-20941000.0,-27453000.0,4,43888000.0,45239000.0,44994000.0,41402000.0,,,,,-8449000.0,-11399000.0,-18555000.0,-12861000.0,47360000.0,45241000.0,34637000.0,38696000.0,0.0,0.0,49030.81,5.7135854,-43.9,2017-09-30,2017-06-30,2017-03-31,2016-12-31,10694000.0,13694000.0,10823000.0,10177000.0,-40.42,,182.91,165934000.0,771786,1,-46109000.0,-38764000.0,-28769000.0,-9058000.0,270879464,2017-10-31,7047355,6.3612556,AMRN,AMRN,166613000.0,170185000.0,175203000.0,166999000.0,79086000.0,85464000.0,96076000.0,98251000.0,124913000.0,127455000.0,128432000.0,116450000.0,212722000.0,208949000.0,203972000.0,176057000.0,47360000.0,45241000.0,34637000.0,38696000.0,-0.22,14.610399,4.47,2.81,0.117088607595,0.738916256158,-0.685943060498,0.142394822006
5,-52384000.0,,0.0,0.073857,39938000.0,3781000.0,-25853000.0,26568000.0,-240000.0,-34786000.0,-25393000.0,-36984000.0,-6408000.0,Amyris Inc.,-0.77,17279000.0,12768000.0,22733000.0,14876000.0,41007000.0,24053000.0,59123000.0,21117000.0,5078000.0,1297000.0,27150000.0,582000.0,13883000.0,49860000.0,60077000.0,75958000.0,4.89123,3.2062,0.0376175548589,792624000.0,0.0,0.0,0,0,19785000.0,8400000.0,212000.0,-495000.0,11668000.0,,17.8,-7.07,2016-12-31,124477707,-0.00301204819277,0.362139917695,-0.330095122445,Amyris Inc.,620000.0,-37371000.0,-48755000.0,-19704000.0,2,30198000.0,27556000.0,33986000.0,23696000.0,858000.0,-151000.0,3255000.0,203000.0,-21798000.0,-27344000.0,-34481000.0,-12028000.0,25679000.0,12980000.0,22238000.0,26544000.0,0.0,0.0,284.51,2.02551,,2017-06-30,2017-03-31,2016-12-31,2016-09-30,14249000.0,14778000.0,14015000.0,12315000.0,-106.23,,65.53,87441000.0,189266,2,-200283000.0,-212188000.0,-184445000.0,-162384000.0,37606558,2017-10-31,2796194,14.099832,AMRS,AMRS,112705000.0,95444000.0,129873000.0,99419000.0,6634000.0,2485000.0,28524000.0,2295000.0,165948000.0,221748000.0,228299000.0,176629000.0,312988000.0,307632000.0,314318000.0,261803000.0,25679000.0,12980000.0,22238000.0,26544000.0,-6.06,-71.0411,14.835,1.86,-0.72035652431,-0.861215932914,-0.91312335958,-0.704200178731
6,0.0,,0.0,0.648359,0.0,198000.0,-468000.0,1025000.0,82000.0,2389000.0,1649000.0,2684000.0,2293000.0,American Shared Hospital Services,0.0,2694000.0,2568000.0,2233000.0,2488000.0,8845000.0,8765000.0,8388000.0,7255000.0,2601000.0,2403000.0,2871000.0,1846000.0,6814000.0,6705000.0,7078000.0,7230000.0,3.73626,2.99936,-0.016393442623,0.0,0.0,0.0,0,3964914,0.0,2251000.0,2346000.0,2827000.0,2396000.0,30.6,11.3,0.17,2016-12-31,17130000,0.0344827586207,0.0,-0.294117647059,American Shared Hospital Services,113000.0,293000.0,452000.0,334000.0,0,1582000.0,1592000.0,1379000.0,1500000.0,6000.0,,,1000.0,669000.0,754000.0,1448000.0,896000.0,4945000.0,4914000.0,5060000.0,4884000.0,0.0,0.0,0.77,1.167337,12.86,2017-06-30,2017-03-31,2016-12-31,2016-09-30,,,,,2.02,,5.61,0.0,0,0,22116000.0,21953000.0,21495000.0,20769000.0,5710000,2017-10-31,4260,0.22331725,AMS,AMS,58994000.0,60433000.0,60598000.0,59854000.0,2601000.0,2403000.0,2871000.0,1846000.0,24179000.0,25993000.0,27036000.0,27205000.0,36878000.0,38480000.0,39103000.0,39085000.0,4945000.0,4914000.0,5060000.0,4884000.0,0.0,-9.090899,5.0,2.75,-0.0769230769231,0.550387596899,0.0720411663808,-0.117647058824
7,-22080000.0,,40.0,0.997725,119644000.0,-7157000.0,10693000.0,1721000.0,-199000.0,-8109000.0,-5430000.0,-680000.0,377000.0,American Superconductor Corporation,-0.4,10777000.0,13409000.0,13360000.0,22107000.0,57819000.0,64271000.0,55700000.0,64260000.0,30320000.0,37477000.0,26784000.0,25063000.0,,,1481000.0,1453000.0,4.9178,4.2483,-0.138173302108,2934000.0,0.0,0.0,0,19323980,3662000.0,272000.0,-4486000.0,2835000.0,5041000.0,8.3,39.3,-1.98,2017-03-31,77004523,-0.191208791209,0.139318885449,-0.0845771144279,American Superconductor Corporation,-7281000.0,-15252000.0,-6925000.0,-2768000.0,4,8077000.0,10207000.0,9823000.0,9101000.0,,,,-325000.0,-7805000.0,-14693000.0,-6988000.0,-4060000.0,11049000.0,8923000.0,16195000.0,27148000.0,0.0,0.0,1.27,1.2327375,-50.9,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2951000.0,2717000.0,3736000.0,2985000.0,-29.8,,-50.61,63315000.0,178856,3,60652000.0,63317000.0,60226000.0,63793000.0,20925142,2017-10-31,2250323,35.59455,AMSC,AMSC,100548000.0,104603000.0,100244000.0,110241000.0,30320000.0,37477000.0,26784000.0,25063000.0,,,1481000.0,1453000.0,39896000.0,41286000.0,40018000.0,46448000.0,11049000.0,8923000.0,16195000.0,27148000.0,-1.87,-52.8809,8.54,2.89,-0.563981042654,-0.161731207289,-0.866181818182,-0.504043126685
8,0.0,,12.987,0.889359,0.0,26411000.0,14614000.0,-19583000.0,-27676000.0,61529000.0,17004000.0,23794000.0,31344000.0,AMERISAFE Inc.,0.77,,,,,,,,,80378000.0,53967000.0,39353000.0,58936000.0,,,,,58.83284,59.43891,-0.0483630952381,0.0,0.8,1.2509773,2017-12-13 00:00:00.0,18759556,0.0,,,,,2.5,,4.06,2016-12-31,1230655271,0.0667222685571,0.130857648099,0.210028382214,AMERISAFE Inc.,16577000.0,15481000.0,13524000.0,19073000.0,3,,,,,192000.0,388000.0,183000.0,1468000.0,23556000.0,22151000.0,18733000.0,27784000.0,,,,,28.0,12.7,2.49,3.2968364,17.07,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,4.06,,12.87,378829000.0,866886,20,494945000.0,481392000.0,467101000.0,456150000.0,19244023,2017-10-31,892975,11.113704,AMSF,AMSF,1583248000.0,1559487000.0,1536536000.0,1518856000.0,,,,,,,,,1088303000.0,1078095000.0,1069435000.0,1062706000.0,92804000.0,89925000.0,97542000.0,98558000.0,3.44,15.329801,69.3962,51.2,0.0248397435897,0.195327102804,1.54679410593,0.0142743854084
9,16360000.0,,60.0,0.813331,314532000.0,226000.0,10249000.0,7583000.0,-3668000.0,4015000.0,518000.0,9627000.0,4605000.0,American Software Inc. Class A Common Stock,0.05,11661000.0,11926000.0,12392000.0,13128000.0,104473000.0,109526000.0,98345000.0,88855000.0,66227000.0,66001000.0,55752000.0,48169000.0,,,,,10.50131,11.55846,-0.0116182572614,0.0,0.44,3.6943746,2017-11-09 00:00:00.0,29415328,56632000.0,15225000.0,14340000.0,14049000.0,13018000.0,1.1,79.9,0.49,2017-04-30,354057193,-0.0075,0.304490690033,0.0987084870849,American Software Inc. Class A Common Stock,2725000.0,10278000.0,2243000.0,412000.0,1,11603000.0,11383000.0,11594000.0,12310000.0,-113000.0,-11752000.0,224000.0,-178000.0,3622000.0,2957000.0,2455000.0,708000.0,26886000.0,26266000.0,26441000.0,26146000.0,40.6,16.7,3.39,4.4558163,19.15,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2507000.0,2546000.0,3074000.0,3169000.0,11.22,,15.68,105739000.0,279733,4,104414000.0,103750000.0,95073000.0,93564000.0,29727724,2017-10-31,143691,2.2783504,AMSWA,AMSWA,145842000.0,148774000.0,136973000.0,130162000.0,84206000.0,85333000.0,76556000.0,68437000.0,,,,,41428000.0,45024000.0,41900000.0,36598000.0,26886000.0,26266000.0,26441000.0,26146000.0,0.27,19.7157,12.54,9.0,0.0987084870849,0.178041543027,0.546753246753,0.147398843931
10,3792383000.0,,7.4534,0.737071,3080794000.0,29443000.0,57246000.0,-74383000.0,256803000.0,653294000.0,795361000.0,683097000.0,725173000.0,American Tower Corporation (REIT),1.61,519759000.0,517183000.0,492708000.0,487996000.0,1963574000.0,1802759000.0,1711187000.0,1689870000.0,799467000.0,770024000.0,712778000.0,787161000.0,687382000.0,1732035000.0,1707330000.0,238806000.0,128.98373,141.22371,0.00253063399041,75934284000.0,2.64,1.7536868,2017-09-28 00:00:00.0,420265307,4481341000.0,1161007000.0,1145251000.0,1123530000.0,1051553000.0,0.6,97.9,1.97,2016-12-31,63671852843,0.0914231856739,0.101404741001,0.192112765283,American Tower Corporation (REIT),317268000.0,367051000.0,316080000.0,229207000.0,6,599856000.0,568342000.0,592151000.0,562257000.0,14183000.0,274000.0,55440000.0,127039000.0,561151000.0,576909000.0,531379000.0,489296000.0,1680766000.0,1662434000.0,1616238000.0,1539549000.0,83.3,42.4,9.77,9.8805,19.44,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,3.6,,17.15,6498987000.0,1441976,15,6518127000.0,6482709000.0,6852474000.0,6763895000.0,422956376,2017-10-31,5550476,2.8516831,AMT,AMT,32319326000.0,32138210000.0,32057389000.0,30879150000.0,800499000.0,771036000.0,718072000.0,791187000.0,19268763000.0,19241972000.0,18890084000.0,18533465000.0,25801199000.0,25655501000.0,25204915000.0,24115255000.0,1680766000.0,1662434000.0,1616238000.0,1539549000.0,6.46,45.3394,155.28,99.72,0.424084760193,0.542102028273,1.02802101576,0.418181818182
11,0.0,,7.3171,1.580791,0.0,,649000000.0,569000000.0,-193000000.0,,26000000.0,716000000.0,-90000000.0,TD Ameritrade Holding Corporation,0.41,,,,,,,,,,2880000000.0,2231000000.0,1662000000.0,,,,,42.3936,47.32237,-0.00771730300569,0.0,0.84,1.7191978,2017-11-06 00:00:00.0,509907944,0.0,,,,,10.5,91.4,1.64,2017-09-30,27614309295,0.0153782211139,0.115015974441,0.292934638793,TD Ameritrade Holding Corporation,211000000.0,231000000.0,214000000.0,216000000.0,8,,,,,,,,,,,,,,,,,31.4,14.3,5.06,7.4362326,23.71,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,2.59,,14.18,3605000000.0,599834,6,7247000000.0,5460000000.0,5325000000.0,5199000000.0,565172110,2017-10-31,8802750,4.4129415,AMTD,AMTD,38627000000.0,30110000000.0,29165000000.0,28834000000.0,,,,,,,,,31380000000.0,24650000000.0,23840000000.0,23635000000.0,960000000.0,910000000.0,890000000.0,845000000.0,1.6,38.3544,51.22,36.12,0.332061068702,0.329523809524,2.15633074935,0.10618066561
12,-3440000.0,,0.0,0.761357,3036000.0,436000.0,-1255000.0,834000.0,61000.0,-2374000.0,-2470000.0,-73000.0,1351000.0,Aemetis Inc,-0.24,39059000.0,32161000.0,33493000.0,35711000.0,10044000.0,4930000.0,7045000.0,7363000.0,667000.0,231000.0,1486000.0,652000.0,17217000.0,12855000.0,11409000.0,12546000.0,1.15415,0.83472,-0.0722891566265,463915000.0,0.0,0.0,0,10762033,8687000.0,1705000.0,-587000.0,3903000.0,3666000.0,45.7,18.5,-0.79,2016-12-31,15263296,-0.0941176470588,-0.34188034188,-0.455714992578,Aemetis Inc,-5987000.0,-8527000.0,-1445000.0,-4095000.0,1,3372000.0,3381000.0,2967000.0,3309000.0,,,-2033000.0,11000.0,-1667000.0,-3968000.0,936000.0,357000.0,40764000.0,31574000.0,37396000.0,39377000.0,0.0,0.0,141.51,0.12825513,-14.54,2017-06-30,2017-03-31,2016-12-31,2016-09-30,110000.0,86000.0,79000.0,87000.0,-25.09,,37.02,149111000.0,1035493,8,-63585000.0,-57839000.0,-49813000.0,-48383000.0,19822462,2017-10-31,123612,2.7753654,AMTX,AMTX,79418000.0,74977000.0,77810000.0,79344000.0,667000.0,231000.0,1486000.0,652000.0,124831000.0,116590000.0,111714000.0,110780000.0,143003000.0,132816000.0,127623000.0,127727000.0,40764000.0,31574000.0,37396000.0,39377000.0,-1.11,-53.8922,2.5,0.53,-0.547058823529,-0.635071090047,-0.865384615385,-0.5
13,123415000.0,,9.8765,1.581675,894185000.0,-1381000.0,13762000.0,7572000.0,-6919000.0,26570000.0,25416000.0,11518000.0,7199000.0,American Woodmark Corporation,0.81,218333000.0,201166000.0,197689000.0,207924000.0,342423000.0,339228000.0,327737000.0,332891000.0,175597000.0,176978000.0,163216000.0,155644000.0,1691000.0,1598000.0,1577000.0,1594000.0,90.49738,93.41,-0.0399137001079,86315000.0,0.0,0.0,0,13825184,223813000.0,58494000.0,57571000.0,51596000.0,56152000.0,14.9,78.0,4.34,2017-04-30,1446241990,-0.0724335591454,-0.0516782099094,-0.0352303523035,American Woodmark Corporation,22281000.0,17348000.0,14553000.0,17637000.0,1,27660000.0,31187000.0,29995000.0,27821000.0,-1809000.0,,-16862000.0,-9535000.0,30834000.0,26384000.0,21601000.0,28331000.0,276827000.0,258737000.0,249285000.0,264076000.0,0.0,0.0,3.88,1.8571941,6.9,2017-07-31,2017-04-30,2017-01-31,2016-10-31,,,,,14.26,,21.31,1048925000.0,180600,65,372421000.0,352449000.0,328044000.0,315269000.0,16249910,2017-10-31,363482,4.8451347,AMWD,AMWD,517209000.0,501273000.0,490359000.0,494510000.0,230347000.0,228728000.0,219966000.0,215144000.0,17902000.0,16877000.0,26040000.0,25496000.0,144788000.0,148824000.0,162315000.0,179241000.0,276827000.0,258737000.0,249285000.0,264076000.0,4.11,15.359699,107.3,69.65,0.147646679562,0.255466215263,2.86620330148,0.165684348396
14,13525192834.1,,0.0,0.57302,14847695625.1,,,,,,,,,America Movil S.A.B. de C.V.n Depository Receipt Series L,0.33,6583051104.0,6579656072.28,6833431475.0,6617009217.49,17905296612.0,16918236677.5,16475148075.0,16491639043.6,,,,,3306254340.0,3170774486.34,3716937525.0,3984478530.61,13.47575,15.63773,-0.0159544159544,1.39338132051e+11,5.999984,34.742233,2017-10-26 00:00:00.0,3287669900,27382576768.6,6887390892.0,7181353277.91,7279156250.0,6374070476.71,,9.6,0.13,2016-12-31,56778059173,-0.015393386545,-0.0405555555556,0.1272845953,America Movil S.A.B. de C.V.n Depository Receipt Series L,-526650708.0,789659740.53,1915553375.0,-288081086.082,2,5211729228.0,5556846698.01,5565282250.0,5343729050.17,,,,,1675661664.0,1624506579.9,1713874000.0,1030341426.54,13470441996.0,13761009350.2,14112587725.0,12991079694.2,26.5,9.8,4.33,1.0457704,5.07,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,2.5,,14.73,53748713929.4,276780,16,13766838168.0,9718502079.69,14557778250.0,10076817830.9,3287669900,2017-10-31,17474575,4.804732,AMX,AMX,76972370268.0,74561578726.1,75408319000.0,73076549044.1,4332084084.0,3879492333.75,3323836375.0,3765895596.36,36055024908.0,34264889369.6,34546154325.0,34140092872.3,63205532100.0,64843076646.4,60850540750.0,62999731213.3,13470441996.0,13761009350.2,14112587725.0,12991079694.2,0.7,82.6892,19.5,11.18,0.535111111111,0.0601596071209,-0.264793529161,0.34921875
15,14021000000.0,,5100.0,1.471317,93273000000.0,-436000000.0,-2237000000.0,-3894000000.0,5678000000.0,3851000000.0,3829000000.0,-1590000000.0,10159000000.0,Amazon.com Inc.,0.01,27549000000.0,23451000000.0,22440000000.0,28959000000.0,48578000000.0,41007000000.0,39460000000.0,45781000000.0,12767000000.0,13203000000.0,15440000000.0,19334000000.0,,,,,950.0988,1006.7276,0.00418503381936,0.0,0.0,0.0,0,398388565,58755000000.0,16195000000.0,14504000000.0,13274000000.0,14782000000.0,17.5,62.0,4.91,2016-12-31,542274852136,0.131005025126,0.162563662848,0.18755408286,Amazon.com Inc.,256000000.0,197000000.0,724000000.0,749000000.0,12,15848000000.0,13876000000.0,12269000000.0,13527000000.0,,,,,347000000.0,628000000.0,1005000000.0,1255000000.0,43744000000.0,37955000000.0,35714000000.0,43741000000.0,0.0,0.0,21.99,3.3762507,1.2,2017-09-30,2017-06-30,2017-03-31,2016-12-31,5944000000.0,5549000000.0,4813000000.0,4544000000.0,2.07,,9.07,1.61154e+11,472039,334,24658000000.0,23214000000.0,21674000000.0,19285000000.0,481872175,2017-10-31,5929709,1.5654294,AMZN,AMZN,1.15267e+11,87781000000.0,80969000000.0,83402000000.0,24310000000.0,21451000000.0,21531000000.0,25981000000.0,,,,,90609000000.0,64567000000.0,59295000000.0,64117000000.0,43744000000.0,37955000000.0,35714000000.0,43741000000.0,3.94,51.5868,1135.54,710.1,0.522780476584,0.671518752321,3.96624007061,0.493160136399
16,1012900000.0,,28.5714,1.206181,226900000.0,800000.0,-3800000.0,-8500000.0,2600000.0,218300000.0,53100000.0,185600000.0,37200000.0,AutoNation Inc.,0.84,4586500000.0,4453200000.0,4319600000.0,4671400000.0,4450100000.0,4646200000.0,4676800000.0,4714800000.0,53300000.0,52500000.0,56300000.0,64800000.0,1561900000.0,1352000000.0,930400000.0,1109500000.0,43.87015,47.3504,-0.0363569592361,10692500000.0,0.0,0.0,0,90558423,3300900000.0,845900000.0,826100000.0,819800000.0,809100000.0,0.7,,4.15,2016-12-31,4788473837,0.160805131608,0.278752436647,0.314300025044,AutoNation Inc.,97500000.0,87700000.0,98100000.0,115300000.0,17,634700000.0,629900000.0,613100000.0,572500000.0,-14100000.0,-19900000.0,-9600000.0,-33800000.0,211200000.0,196200000.0,206700000.0,236600000.0,5432400000.0,5279300000.0,5139400000.0,5480500000.0,25.4,10.1,2.18,0.22007224,1.87,2017-09-30,2017-06-30,2017-03-31,2016-12-31,,,,,4.06,,18.03,21331600000.0,820446,234,2200500000.0,2498600000.0,2434200000.0,2310300000.0,91243785,2017-10-31,13074520,15.926164,AN,AN,9954800000.0,10149700000.0,10092700000.0,10060000000.0,53300000.0,52500000.0,56300000.0,64800000.0,2857600000.0,2568100000.0,2546200000.0,2720600000.0,7754300000.0,7651100000.0,7658500000.0,7749700000.0,5432400000.0,5279300000.0,5139400000.0,5480500000.0,3.86,23.8612,55.77,38.2,0.217633410673,-0.171586424625,0.285644292014,0.0649350649351
17,-26163000.0,,2.1739,13.30826,376809000.0,-4083000.0,-66002000.0,45522000.0,4098000.0,-3888000.0,-2643000.0,-8097000.0,-5570000.0,AnaptysBio Inc.,-0.46,,,,,120327000.0,115848000.0,110155000.0,58208000.0,26729000.0,30812000.0,96814000.0,51232000.0,5000000.0,3125000.0,1250000.0,,30.5892,49.3004,0.026709896557,42340000.0,0.0,0.0,0,23138743,0.0,,,,,1.8,,0.0,2016-12-31,1562595720,-0.0491850157278,2.02410186448,1.49250374813,AnaptysBio Inc.,-9090000.0,-2684000.0,-11435000.0,-4578000.0,3,9087000.0,9555000.0,9988000.0,5928000.0,,,,1000.0,-9087000.0,-2555000.0,-9988000.0,-3174000.0,,7000000.0,,2754000.0,0.0,0.0,15.42,161.64592,,2017-09-30,2017-06-30,2017-03-31,2016-12-31,6697000.0,7205000.0,7935000.0,5016000.0,-30.9,,-37.6,9754000.0,199061,0,101355000.0,109175000.0,110115000.0,-38248000.0,23497680,2017-10-31,833765,1.174441,ANAB,ANAB,121945000.0,130409000.0,131111000.0,62180000.0,115722000.0,106359000.0,103496000.0,51232000.0,14269000.0,14112000.0,13959000.0,,20590000.0,21234000.0,20996000.0,100428000.0,,7000000.0,,2754000.0,-1.33,0.0,74.0,15.17,2.91176470588,2.91176470588,2.91176470588,2.91176470588
